measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,All causes,Rate,1980,1028.8213010045413,1036.0965078238753,1021.769062976007
Deaths,Global,Both,All ages,Tuberculosis,Rate,1980,43.04471298606465,55.53953516418523,30.731978940474733
Deaths,Global,Both,All ages,HIV/AIDS,Rate,1980,0.3721384280276477,0.44619493636743907,0.3197233161530915
Deaths,Global,Both,All ages,Diarrheal diseases,Rate,1980,89.05427951061597,108.98547207964634,74.56531965867887
Deaths,Global,Both,All ages,Lower respiratory infections,Rate,1980,71.11288489531537,83.13028209817205,61.98063884153974
Deaths,Western Europe,Both,All ages,Malaria,Rate,1980,0.0003114622067917058,0.0010423177148699285,1.1710060658295242e-05
Deaths,Global,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1980,17.907431514168415,20.115456747228468,16.720500466993887
Deaths,Global,Both,All ages,Malaria,Rate,1980,15.218649450544918,27.295180717393116,8.12790801793096
Deaths,Global,Both,All ages,Chronic obstructive pulmonary disease,Rate,1980,32.22854897326656,38.974292011919104,24.86972189120084
Deaths,South Asia,Both,All ages,Diarrheal diseases,Rate,1980,219.70405153724153,274.4194509567692,181.89884526411961
Deaths,South Asia,Both,All ages,Lower respiratory infections,Rate,1980,101.96022913938867,123.15347252862506,84.04341382151624
Deaths,South Asia,Both,All ages,All causes,Rate,1980,1268.014250873705,1286.7110372815,1250.5606076947963
Deaths,South Asia,Both,All ages,Tuberculosis,Rate,1980,95.87011382167348,128.27651306022142,66.7247161124265
Deaths,South Asia,Both,All ages,HIV/AIDS,Rate,1980,5.8121950994733014e-08,0.0,0.0
Deaths,South Asia,Both,All ages,Ischemic heart disease,Rate,1980,58.14944148405327,76.99855324436759,43.79179344759759
Deaths,South Asia,Both,All ages,Stroke,Rate,1980,48.86553353463932,60.08651752810947,37.02763048229039
Deaths,Global,Both,All ages,Chronic kidney disease,Rate,1980,11.812281876084407,13.646556758661227,9.760353688091792
Deaths,Oceania,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1980,6.710066821659251,9.437541436025347,4.8393004209419805
Deaths,Western Europe,Both,All ages,Alzheimer's disease and other dementias,Rate,1980,30.331375888554366,77.08131136492027,7.26174209925489
Deaths,Western Europe,Both,All ages,Self-harm,Rate,1980,14.764621272158474,15.376744983973582,14.150843633311803
Deaths,Global,Both,All ages,Alzheimer's disease and other dementias,Rate,1980,10.02538221757495,26.304467165729108,2.451807627567385
Deaths,Global,Both,All ages,Ischemic heart disease,Rate,1980,110.64190517202526,120.85499211504208,101.60544051490811
Deaths,Global,Both,All ages,Stroke,Rate,1980,121.68132135608083,133.6741758114699,107.30858643208023
Deaths,South Asia,Both,All ages,Malaria,Rate,1980,16.17864305507121,28.201101100757324,9.515167444201246
Deaths,South Asia,Both,All ages,Chronic obstructive pulmonary disease,Rate,1980,40.78230672109026,53.319345209852905,27.538858135767363
Deaths,Oceania,Both,All ages,All causes,Rate,1980,795.4731437079045,812.3989214569096,778.0636986080024
Deaths,Oceania,Both,All ages,Tuberculosis,Rate,1980,40.22037894250395,60.57937846782233,25.196989464234708
Deaths,Oceania,Both,All ages,HIV/AIDS,Rate,1980,0.1390169283321919,0.1718045737575674,0.11245016604418838
Deaths,Oceania,Both,All ages,Diarrheal diseases,Rate,1980,46.61746599331564,65.36522020225402,29.440361125324397
Deaths,Oceania,Both,All ages,Lower respiratory infections,Rate,1980,83.42608915602912,101.84817933992841,67.35024426014125
Deaths,Oceania,Both,All ages,Ischemic heart disease,Rate,1980,70.75077883166983,96.93081947588222,53.39313382025756
Deaths,Oceania,Both,All ages,Stroke,Rate,1980,67.23035936074676,89.71514579414304,46.02191693865256
Deaths,South Asia,Both,All ages,Self-harm,Rate,1980,8.957665611218339,10.951675526151703,7.396374009409409
Deaths,South Asia,Both,All ages,Road injuries,Rate,1980,10.716795952689093,13.620237864158122,7.950208341370455
Deaths,South Asia,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1980,2.680226079038304,3.6351637410604227,1.9713002783295714
Deaths,Western Europe,Both,All ages,All causes,Rate,1980,1037.7865238354227,1038.9583410329492,1036.5981827474172
Deaths,Western Europe,Both,All ages,Tuberculosis,Rate,1980,3.7143474644584127,3.9466641244939025,3.4768160092474756
Deaths,Western Europe,Both,All ages,HIV/AIDS,Rate,1980,0.27211963117453014,0.2847126213182494,0.2590057046887942
Deaths,Western Europe,Both,All ages,Diarrheal diseases,Rate,1980,0.7898587226078931,0.8678697397147802,0.7224074404081663
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Malaria,Rate,1982,0.38252602477320974,1.0115476112741608,0.039728414134311774
Deaths,East Asia,Both,All ages,Diabetes mellitus,Rate,1980,6.361635256011358,8.420835311591041,4.681502831556786
Deaths,Global,Both,All ages,Diabetes mellitus,Rate,1980,11.161731575894157,12.939078309367641,9.721197508612917
Deaths,Oceania,Both,All ages,Chronic obstructive pulmonary disease,Rate,1980,30.702688694750357,43.29033145703809,19.74280339139202
Deaths,Oceania,Both,All ages,Road injuries,Rate,1980,16.945656660508714,22.998497683320334,11.168882599801814
Deaths,Sub-Saharan Africa,Both,All ages,Malaria,Rate,1981,130.73136474111112,225.32823961094118,71.83362664314109
Deaths,High-income North America,Both,All ages,All causes,Rate,1980,848.6413260184257,849.3684437434317,847.8227069560863
Deaths,Western Europe,Both,All ages,Lower respiratory infections,Rate,1980,36.42839885860202,38.90646596884479,33.551227997734735
Deaths,Western Europe,Both,All ages,Ischemic heart disease,Rate,1980,248.08051736858695,255.20651876183442,235.80006010980557
Deaths,Western Europe,Both,All ages,Stroke,Rate,1980,159.57948247762263,165.85910501361423,148.25107333121107
Deaths,Global,Both,All ages,Road injuries,Rate,1980,23.318651788936375,28.894889589477657,17.43966022118048
Deaths,Oceania,Both,All ages,Malaria,Rate,1980,34.59024146172545,95.91336157541379,0.8496353834900505
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Diabetes mellitus,Rate,1982,6.721147664316384,7.1917147939753105,6.279778431319868
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Chronic kidney disease,Rate,1982,6.971908397410003,7.440441032529139,6.4903403188600075
Deaths,High-income North America,Both,All ages,Lower respiratory infections,Rate,1982,20.848177884173104,23.294239172096873,18.241098142528777
Deaths,High-income North America,Both,All ages,Malaria,Rate,1982,0.0,0.0,0.0
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1982,30.470799816784172,32.02283966134426,28.991037925947598
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,All causes,Rate,1982,1005.1748423568724,1007.5891622303202,1002.8673980550693
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Tuberculosis,Rate,1982,9.033052194917296,9.595544160310478,8.473285347693047
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,HIV/AIDS,Rate,1982,0.8176023768013202,0.8605471871380482,0.7741050153639557
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Diarrheal diseases,Rate,1982,5.341531252519675,5.696316715990923,5.015563396746671
